MAGPIID,z,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84
1201057188,0.8796,3428746703.56357,2082888815.49453,1264373631.22697,3538751705.33171,1.13156079556304,1.26784827493423,0.8898071868334707,2.1274437836027804
1201061256,0.4027,873917981.537965,746083768.746906,248883046.499831,1325067306.54122,0.287125966466233,0.2971199583641385,0.1146590808592756,0.5400549120269881
1201101154,0.4137,637557677.965309,729161906.215952,542272428.58786,1111495280.19777,0.00200850609735832,0.2959831458941645,0.22462771372551632,0.49093686191854197
1201112189,0.879,13705467964.2254,5203930716.12407,2407485987.80784,9761007936.46338,1.72644782746486,0.625367383259815,6.121993303795345e-10,3.3171050342330823
1201118138,0.3469,4977332140.63678,4217565835.12927,2970791322.62969,5556110777.48356,6.13428888433001e-236,0.00191471312525845,4.651765981004663e-16,0.8076099476680526
1201123284,0.3487,462292434.645004,391495393.878471,286655006.518895,489018563.870859,0.0950327570932664,0.115219712630151,0.09467336623968907,0.15658265240385968
1201124338,0.3477,8007156304.10778,8075675576.93461,6525145581.46482,9966681050.6727,0.927844924314657,2.073507136274185,1.3768423480046965,3.4340182348560093
1201129319,0.3049,69652858.8834129,111303430.618986,76256594.4520824,159731801.972693,0.0634121121233584,0.037065264189355254,0.025295739087057723,0.05163644996380772
1201141060,0.8705,7328215872.39161,5279915181.87637,3923601919.54817,7338625218.86686,0.814539045754882,2.179009963536175,1.2571573126392606,4.200374937178838
1201142200,1.4241,1773334348.5618,1927289234.58296,1473881352.69728,2533088227.38937,1.74987870391811,2.04220715075423,1.7102744305386277,2.6208843481443775
1201151066,0.6715,671082777.036335,634978269.165985,369717331.140041,874710343.777883,0.423605156197051,0.5209182684382025,0.4138347777323264,0.721132531664382
1201166105,0.5165,270861523.938362,639880945.209067,380950051.882325,1300051815.36759,0.31746295891341,0.232653203150399,0.15607686836893883,0.406034949564274
1201168152,1.0931,5020015746.47464,2251034694.7551,615710847.068131,5617212793.43502,0.463189059944012,0.8767950065100455,0.0016412244039444366,1.641828324254856
1201197192,0.3462,236574251977.498,275997620491.394,242478815631.511,310003095547.202,6.50174517711999e-100,0.00018681760149200002,2.994502862654752e-39,0.09102512084641384
1201197199,0.3469,430077634919.468,425292326278.477,367241462321.578,493360887236.014,0.000524367036193745,2.30243846875829e-07,9.49864138406405e-23,0.05362942354328046
1201201063,0.3482,8748971977.90171,8360699364.50624,7114697557.38501,12055683739.6781,1.61484142351365,3.0704939732542353,1.5888310550601528,3.620657091754674
1201207317,1.2612,5448464612.29742,6901513538.16292,5217529607.54863,9573116087.2449,6.79230189915377,4.349021839575045,3.2778965168659977,6.180548079702702
1201219137,0.5439,2925009904.38492,3781724930.04555,3056204803.18448,4684993275.49699,4.47601754858085,3.181558919205325,2.766760446159899,3.8503760541037195
1201229132,0.5437,667317734.43507,903386496.009661,737184233.860422,1177132208.5368,0.200031431681152,0.409998473844558,0.32328057569340657,0.5029659308753724
1201233238,0.3338,614971407.377544,436861745.603678,273619677.626189,716277065.58863,2.35973620718218e-09,0.038371020076096954,6.562962874290899e-36,0.07938116058611369
1201250296,3.2387,65085308825.252,34181682346.1616,12044432359.0521,79105463216.3227,487.217432596604,53.5798177457558,19.952372625324067,140.6946860617716
1201252223,0.346,37943529922.4985,31072119042.7512,19484375687.7948,39454277977.2007,3.5731949952753,6.28601053257678,3.996065077592952,9.504762315931966
1201267266,0.969,2742475539.65693,2418610240.60126,1550383454.86675,4129586072.23194,0.86954227132622,1.1985482444496252,0.9009329013010922,2.2891178152280864
1201271244,0.1992,207796114.732158,149253319.338729,97970857.7758845,265651839.593523,0.019269124008564,0.0264912605358002,0.008072219104111388,0.04275659556852773
1201278041,1.4437,12364719738.6431,14261958495.8107,9051003994.45375,20453859971.6517,8.20653392775462,9.388902582738915,6.989527206668811,15.87920737487376
1201278070,0.2984,3135550912.73447,2734097642.75101,1059712468.33827,4411028795.14394,0.71643294934686,0.68783060998239,0.21320229676394947,1.4757644126500127
1201290288,0.7574,1653202344.82516,1642829746.5691,1097391053.82041,2352109482.25785,1.05698688731689,0.8512742856207896,0.6580817951434512,1.183243173211935
1201294250,0.8712,1365351860.51339,1093274634.17455,676778994.527572,1507252309.11046,0.959143499330884,0.8934223163531381,0.6523546386793997,1.1848436737431982
1201300075,0.4796,4836912000.43911,5234633809.49753,4443193950.12491,5951846991.12366,1.62148707502886,1.345739982555335,1.1458893121200857,1.5184466077970313
1201302222,0.2992,1712136107.98301,1487084230.76369,1258311618.24115,1773352259.18387,0.512098282354871,0.5168389932473725,0.4489311593171025,0.5986088668836144
1201303336,1.2639,1740801930.13656,2251661829.02915,1334146123.38483,4910562564.05774,1.5749262645726,1.64573894953564,1.0729796597669332,2.5600865617514867
1201310142,0.6903,4577500444.11163,2111299565.63194,1437759719.37669,3496665469.17964,1.17648493360687,0.7393929025631275,0.4840618062754435,1.2241299818262388
1201310200,0.8267,2307673115.07007,2321603257.69704,1499940752.65701,4225701922.78656,0.180143930284229,0.792208654703235,0.12880848963059408,1.8188866419613063
1201314179,0.3338,1255370866.10701,1455903326.564,863571684.258802,3022237525.6197,0.169186553060277,0.22768766535211898,0.004382559102071264,0.7025876393594823
1201320149,0.2622,479907003.430179,414213325.165767,316566606.457787,585327625.620575,0.116088275598231,0.123658612183549,0.09603874268495431,0.16107021094198
1201341060,0.3825,216045201.160432,490986706.77462,281264940.430675,629460765.945827,0.544730664909592,0.22330764575426648,0.1833481704996423,0.32958341346075154
1201358328,0.3494,27314340494.1001,18265189599.1996,14970168437.1362,21643789908.6252,6.25396115405133e-11,2.66671117228196e-15,1.08728633053729e-232,0.000348411388014792
1202044210,0.7393,10204341767.415,11691193098.2563,8929066727.52462,17214300920.0565,16.7302396990458,12.38284462062685,8.890340023954936,16.748128538342332
1202068195,0.4559,731049771.578063,430986550.905932,237813520.145778,1138194662.58639,0.171602739119276,0.12220077734447049,0.07589177801977885,0.3545828484655353
1202077074,0.3983,1902271111.17765,3090662858.81755,2161691161.29012,3986387566.99685,0.157663253950409,0.8635264013349779,0.5600505460156497,1.396305741021976
1202091312,0.196,145733719.890072,163235630.784883,96367365.0905691,231171232.508556,0.0150658680811941,0.09092977114146819,0.06668879696378731,0.13428061792912965
1202098159,0.8444,7126243947.9759,3966039111.15483,2714803400.29879,5866496799.95663,5.14459563846195,1.49382783583151,1.0285451765307396,2.5326725390625477
1202124233,0.5589,244010789.935427,466973330.534319,286551090.247962,797012024.871084,0.495000284516613,0.30481015869733497,0.2123251894952821,0.4590157772046119
1202130182,0.4825,2975248037.18005,2130787385.10958,1484623066.9398,2870647887.96596,0.290130003175189,0.629816575410058,0.5099114354450297,0.9059807340458711
1202142230,0.3257,234382862.627577,151601432.325723,74306061.5569218,216990403.07557,0.0449266520441093,0.0734948494126404,0.0539651430861256,0.13633354719328508
1202153285,0.794,1178919477.49963,223616979.731155,9996599.04727529,678107400.561598,0.962202990415671,0.110682894349831,0.0006094081688353524,0.31523262920308653
1202156126,0.5519,4184464174.12687,6737783330.10377,4833660202.94307,8743004046.31719,0.0148465074358452,0.00056770982478245,3.761666263360317e-26,0.05979043235122438
1202159194,0.552,15501898182.7985,13862172420.0386,9178395833.05591,17547046821.7425,3.22047419345016,3.996407064028885,3.014888856598338,5.768732233855815
1202161125,0.5513,180359619810.286,192643086173.584,160620105891.933,263709693799.653,0.817163006595018,8.17682529857581e-39,0.0,0.19480028821046744
1202190072,1.2595,2460584045.75247,4306536545.41093,3573212113.00197,5345570212.66138,4.9321388507483,3.3689225741342197,2.7187655698624935,4.073138981465581
1202193066,1.2592,3113826642.51031,3032666043.20594,2281335355.81427,4312502393.02207,2.88691596561911,2.5838621459781,1.9189033377598532,3.5051306326892817
1202196051,0.9231,1644729364.75105,1132946378.32036,889323538.439385,1460755292.98508,0.591825540807004,0.8867873422833645,0.7145049115143367,1.1041353157041007
1202197197,0.2913,109620784826.3,108490510875.298,96087481254.4977,116404096608.124,1.15587302396512e-13,1.1739315098503802e-61,0.0,1.05256043949189e-20
1202201221,0.5507,650091808.053451,1372967227.046,760164952.903719,3100465807.80034,2.30175949292417,0.4360701397024155,9.777911261927099e-23,1.741322213354
1202209276,0.5597,13254594809.4949,26409575269.1697,9957181864.95837,47903391125.7328,2.47845862399784,9.02861096429137,0.00024536676382803685,15.008272765920696
1202211147,0.5613,2857154266.44542,1917563663.7729,1611396445.05904,2308164168.97181,0.769850774071792,0.5518297254063755,0.41509405768891966,0.680082715198671
1202217204,0.5508,10227278577.7527,10769813668.0414,9275938138.37074,13066058872.0238,0.953505378287358,1.32926392229191,0.6702362881960697,3.2514006528660957
1202221243,0.2921,796192823.008036,1351694212.06965,984525491.636463,1669254480.02842,0.0825919845602734,0.252424972698805,9.956880049873357e-06,0.48781286271512814
1202222143,0.5264,1272733898.27736,812908125.782815,674990743.366443,1017255481.22416,1.63972573630778,1.6748707716603999,1.3874312746787196,2.01171449895553
1202249179,0.439,508230280.764458,420248133.709904,325090035.797034,582057328.857513,0.258138987609123,0.20407877864816398,0.16982386222439996,0.2473181289202328
1202253144,0.5591,226256755.107666,238842406.052744,111083341.055736,462387821.484341,0.191432608779943,0.1867233860676385,0.13241659557288427,0.32365565195132
1202260065,0.7383,3885974186.59439,5105739283.57292,3780745538.15542,6145398293.04112,2.33769990350822,1.8659953645358849,1.6299588135644745,2.1724058361837852
1202266102,0.5532,6312150467.01022,3465955092.27896,2521420904.74372,5348554563.37198,2.78278624803607,1.6828446849765202,1.3935730044235706,2.285224259309881
1202276302,0.3764,239583208.62971,192472440.999734,126260346.598293,312467590.42851,0.0533052426682274,0.048735890165250345,0.03088709144952079,0.0672347267255398
1202290134,0.4927,1847987741.80541,1861175643.88061,1345316526.29702,2228338794.9813,0.986909312743404,0.5484958875885175,0.4692485233823445,0.9038673706490844
1202297132,0.5585,16825985615.795,15381493254.08,10163347808.0234,22316668731.1923,0.818218610806463,7.59611067676418,4.334861153033516,14.480482541876547
1202300176,0.3733,969138458.54131,929684955.327151,746859109.935431,1142519310.33474,0.259664350146962,0.25616866114736947,0.2068574802175054,0.35539542877544084
1202301169,0.6884,15253682002.6419,18917007487.0215,15929284365.5161,22760268521.0404,30.3679960976366,5.863578362213915,5.025400451036205,17.46282714386481
1202314150,0.5634,1656522111.44559,3537747248.61287,2626860510.39379,4675056176.02985,2.17514365821533,1.221932488176465,0.9873836707905811,1.8091586204438381
1202314189,0.7251,6398678304.2071,6002392737.49981,4210615110.41677,8542249777.18052,1.03795980993789,2.07394876632757,1.3435023503143326,2.9119606693658717
1202330214,0.9194,6211840034.5285,3767715319.93872,2236839082.0369,6185260270.79002,4.43587967656543,1.871391073158665,1.0247596619970774,3.168270898504575
1202368315,0.7183,8337255152.48963,3635278689.43527,1474036011.28484,6806349095.87375,1.24983354651628e-90,0.5931786241480745,1.1840072010335768e-12,2.3585054935135963
1203040085,0.3124,170317540589.95,153132979378.411,137216262112.592,170596883285.034,0.0,2.36535370321778e-20,2.003025083239709e-109,1.614379229736668e-05
1203044142,0.3661,242367963.463242,346933910.251907,271872725.772694,448107265.836533,0.215284120059619,0.15494805669877348,0.12751097842592218,0.18734668321704043
1203053204,0.307,6536299426.87917,5231862197.85656,4035136636.94851,6460770839.91018,0.340710177834403,0.8805294936260005,0.299658218010757,1.4919668633314631
1203060081,0.2791,41285985005.3862,44356683622.874,36645554716.404,51257076643.9747,6.81349085666717e-13,7.32365307913527e-05,3.4903323002702557e-12,0.07283257703841835
1203070184,0.3084,269252737820.791,141997282866.617,78792643773.7173,233233528276.463,0.0,7.44133464990344e-41,0.0,4.76244573821982e-07
1203076068,0.3062,21263605605.0367,27442537986.0423,18809358931.0563,41282452887.7157,32.4960584053035,24.8269070446829,17.368452690701222,31.9485196102642
1203081107,0.3059,286536191.182303,315822600.716484,235859950.638849,420933594.81459,0.001767857902751,0.06487714460008155,5.83477406110943e-06,0.09419636683208082
1203081168,0.312,1632102409.4499,2444405560.70316,1630162597.42679,3205658009.47912,2.83632097112378e-14,0.0005510649859721,3.4698640848008566e-12,0.04710173680515763
1203087201,0.3088,46511181891.9678,27812529078.5479,23640461559.9143,35962183118.3819,1.57968542263101e-08,0.00127480333405825,1.8823576192302498e-27,0.06658499728581464
1203092088,0.813,1592864819.82035,9418055.10250583,1.66918924047268e-65,1353333200.47877,0.25773008075006,0.002596911898907,3.594458927623147e-106,0.5344081195195843
1203094051,0.3107,1021548820.26037,2000956545.12174,1254170492.70907,3360541737.72339,0.0014509497597012,0.1621280798873955,3.88934974129749e-09,0.6064653389660098
1203103298,0.3076,22523249065.1886,6348130918.37826,4069133015.20898,14866324460.4455,0.0,2.0254759330151498e-11,2.462802220387323e-211,0.007185648026578386
1203122346,0.1974,912332035.420327,843241200.202465,633758136.356552,1029683291.55371,4.0262247123463e-06,4.1945560257930156e-21,6.0782371941409174e-145,4.148296827834083e-05
1203126354,1.0883,12645530554.5705,19245119708.3516,14383308763.3866,30874396023.7332,0.142790478700803,0.0030559611933069,1.0221031204966739e-22,0.342052879625436
1203152196,0.2802,492904447.583137,1253793685.50831,843804247.37128,1727291050.01767,0.000136840006601982,0.00033890370182785,4.653390801692203e-35,0.08512548899598006
1203153287,0.3069,260014948.281893,299141227.860927,206410214.14187,420179614.576414,0.00109689643517003,0.11009530572752,0.0838575425331744,0.1484556443655376
1203162193,4.7829,27937785749.5103,21420430885.3497,12462605652.3902,56147787630.3297,97.147895704789,63.216708954881355,36.65277570897252,136.2054523298422
1203183064,0.8621,181818966.440295,754660661.408761,483850119.689838,990475711.857792,0.81622283700691,0.6105501655984685,0.5032875027656348,0.7505620659913729
1203191233,0.3537,8657893679.29353,15360861944.2941,12665934609.3583,18062022449.5757,4.07721588103112e-73,4.07585020258199e-14,3.8416885318666917e-144,0.0060118047437981
1203195161,0.2788,52913363821.5397,58385674640.2829,52872761696.7724,64433537039.9584,2.44200277485718,2.07243605913041,0.6805227704536477,3.65298566176319
1203195292,0.2789,383647636.414798,218048329.418786,133569487.376951,451717644.701214,0.000410691674966011,0.03810470073087355,5.649520075524026e-07,0.07272895621442767
1203196196,0.3094,596958081335.927,370660039709.239,293581655607.018,586761915994.57,0.0,5.4016233702973e-164,0.0,2.62415129531881e-16
1203198286,1.0885,2327568093.5513,3130675642.4507,1588839193.27656,5158698014.86378,0.0795481574868054,0.342502135215056,1.1929947915314965e-14,1.362969505470608
1203204344,1.0912,3564490714.92044,2835582071.28278,1935202588.2535,4364850859.45785,1.24040328204444,1.36165837319925,1.0006071856838392,2.05795045499954
1203214193,0.4552,14802145351.2381,25035731822.3138,19679142024.6066,28446544257.3266,1.63009473707376e-25,1.655311133135115e-69,0.0,3.105709733211163e-09
1203225067,0.6944,3174008641.40522,280371833.266213,1191975.60820429,2121672464.9673,2.5270000326514,0.21528853661077801,0.00010827119774134039,1.5486965405843056
1203230254,1.2237,5853972460.76341,2700908729.77711,1528533305.70322,5177945783.3359,3.34335271552776,2.09040176639322,1.2968586710123866,4.038353472178125
1203230310,0.3111,70393992870.3184,58785701029.3613,49073315600.5314,66868504678.1752,8.30387462553368e-37,1.334149838671377e-212,0.0,1.324577955060433e-23
1203235348,0.3605,6207193789.85211,3910381679.18488,3163132813.21323,5354455702.27948,1.35011824071175,1.36843322478081,0.9489551636032241,1.652891361828126
1203247089,0.3059,573813582.585537,1002177610.77077,665005791.600107,1703740890.56551,0.443892544343464,0.231331570878744,0.019744426323364518,0.3933512282374775
1203276130,0.3136,33964371024.1862,20439492744.1125,15657991521.4241,35534233195.3973,7.45195714036018e-05,0.0622746707248865,4.7502754049013706e-11,0.7981545831972382
1203277076,0.941,2623226224.46501,1613308165.15317,866694422.78201,2961394932.71075,0.625392758380789,0.8118499596769385,0.45010603174901115,1.3745903451172388
1203287367,0.3079,5136967451.16948,6237458421.25328,4219214011.11964,7814563821.3165,0.00389418003817534,2.88481969885059e-05,3.918617971021843e-48,0.052592566242583315
1203294215,0.392,251032446.068473,135888288.920617,46925265.1774845,383420811.069164,0.0183393415003158,0.044692625901411195,0.012545070717285849,0.11548871236036296
1203303373,0.3108,30793146042.7689,27620447851.0984,25258131058.6474,31393918879.5525,1.03676018232893e-09,1.5675349640668e-24,5.219931639810488e-74,2.8709446924897615e-07
1203305151,0.3145,66117588063.529,65350495017.0891,55710999570.305,80052124342.0182,6.30197031466459e-29,6.556528332065965e-169,0.0,1.6307013868998597e-22
1203305228,1.0285,868278393.151937,807379664.119497,448272953.958108,1292677636.7327,0.798219587067867,0.43123525910376603,0.2484382087024101,0.6558130389153232
1203318171,0.6451,9188370846.63142,1755255004.9765,558523957.068714,7068494365.98382,4.60317388487078,0.387978170739132,0.144459799563032,2.790992232280075
1203323205,0.8445,141939422487.597,154427201727.634,126514348030.141,176560863505.338,61.0425152403549,60.694264179954345,49.362951801556996,79.27137272277126
1203337311,0.3124,81713578.0311385,305423304.679358,152000214.351671,523696989.862428,0.360614794126961,0.182929518993295,0.12197813906887874,0.2954928534336459
1203338251,0.3116,787473553.577243,448695645.408765,277392832.927548,729547755.571881,0.113203534415563,0.09789240907357495,0.001540822924332808,0.2524953502394171
1203341191,0.6836,1060782349.74883,1215003245.42511,851502866.962006,1788560501.79739,0.64323069723102,0.634501789094976,0.5170763993762215,0.7996398113070208
1203352194,0.3171,1969195551.03745,2043228551.02436,1599787832.39443,2421929285.46852,0.00471473518367696,1.39455580163696e-34,0.0,0.004739828450485184
1204058163,1.1515,6545689753.5917,5412107940.15134,3586856219.24899,9073611603.94817,69.3205333095866,3.2664030831474804,2.012109484382873,16.7090711473423
1204058291,0.9163,2417291225.12618,2639067002.39053,1564091626.93512,4410108081.93154,0.958768798979546,1.024273602012665,0.6744091738098913,1.5775505437775401
1204059071,0.5037,62296336005.0515,43275548053.7771,18377029185.1889,231856493409.118,0.0,10.9951691643522,1.1460658033215554,86.398952718929
1204070087,0.837,937340724.575964,913116194.626161,592007765.755727,1410574625.75076,0.439642717446917,0.416686216693113,0.3023865572229335,0.5689520315344145
1204071128,0.3164,553687440.849659,464464907.123219,359408262.616752,673202830.215458,0.233049702047101,0.183353517021802,0.14105423628735628,0.2598504698553868
1204071202,0.7252,3740050162.81166,3321279136.16377,2380872257.89915,6329223328.65331,0.833238297916787,1.473081946073485,0.9366430779043783,3.9035060783012434
1204090175,0.7263,26200503749.9713,23261096747.8723,18381686241.9596,27583161588.1073,8.06623099477437,7.29972964218556,5.428326767784334,10.965641161403868
1204093078,0.5363,6379889279.37566,4946985760.00108,2148904189.75447,6668897292.39587,1.77402354258098e-118,0.0439384848478339,4.686509856130416e-16,0.5762469670499266
1204096181,0.3504,3787246969.76555,904100399.287199,348596331.819513,2212733522.06291,2.00568848338314e-200,2.875877142055135e-05,4.516526519354878e-161,0.08563369082715615
1204110120,3.5092,7792460302.46621,10606752870.2517,2168915.2181408,20998188679.3016,21.7883505628121,21.945509894004047,0.005237440715012026,41.92281912783917
1204123199,0.5017,5919645199.41317,3707567921.76019,2437331329.73667,5767555757.69396,1.87848473806562,0.8327885784871321,0.199862068187425,1.772882860047755
1204141177,0.1064,33732733961.5749,43774460739.6228,37581927339.8068,54438989350.6936,2.74778602923454e-09,4.599938859449845e-09,7.491214540644902e-54,0.0010418276912213635
1204145237,1.1686,27696598887.3397,10851428258.7078,6478430322.16506,21337023619.1007,7.19269731629983,3.837813870144905,2.435539060747009,7.7629730352382476
1204146297,0.8142,1222105167.34693,1791435932.16334,1315222922.15936,2383498946.61463,1.39384863998396,1.425665203229645,1.1694333452393468,1.797085574328454
1204153198,0.7252,14589046093.3563,11669896497.9162,6929705387.80567,14398097621.0144,4.11844890485195,4.294587336079729,1.839756588233476,5.820297375329546
1204155253,3.2941,284905582767.802,138659493583.393,13235585314.0742,362507920874.413,1632.59829983948,213.88987992019202,4.124001207358493,728.1254468041601
1204173240,0.753,4264288696.71902,4725768990.869,2263672217.09228,11205766442.7408,5.17376976465063,1.4901382755522299,9.244296942403629e-05,5.862095753515888
1204178353,0.555,4998223332.07815,6271836715.10176,4685519278.00502,9664306566.54208,14.0789319498381,6.5469000591222795,3.188548524767193,15.9912693911194
1204198199,0.3156,88212257574.5701,95523329996.6036,86750154341.8743,111157117201.176,15.6759417128901,7.97834814210322,1.6919344868468011,16.2697104658587
1204206169,2.9416,20069537473.8514,22862318285.3056,5507715042.81314,57309684712.0712,41.0565562623886,21.8031665048645,5.507009562074676,86.23887573850196
1204213219,0.2537,17946497578.6302,19012275322.0642,17791570072.8741,20324412509.943,4.48309584013848,3.7229014832197054,3.5607694898972104,3.9485238849724413
1204217145,1.0745,50214683758.53,7600567854.23391,4311050073.72698,17789588017.6555,17.0432700536155,0.0413193914644253,1.1865361281140474e-54,2.0666583656030832
1204228274,0.3471,224816224.387419,199610642.115286,137952069.445492,330739759.948763,0.0859163698180193,0.07289845158424915,0.049081342098653884,0.10206773784695428
1204235184,0.8836,1630823924.72626,2506741732.97387,1562279696.2464,3392401913.82092,4.33299347553459,1.43375843127312,1.0349165378174117,2.8844828816944363
1204236221,0.3161,1297342259.85211,1855758676.20893,1132330037.0599,3010224431.65154,1.11160384748738,1.321772703417445,0.9292024610647628,9.004390694282879
1204239328,0.6228,2536014772.21154,2648798395.20045,1969752646.42684,3508485391.36697,0.202590950448838,1.50025647226035,1.1717015685610337,2.150911915188048
1204241066,0.611,50035189492.1878,58590744609.1264,47665890179.1579,80450891088.1384,87.4579254497573,27.5626430372122,21.88767188605499,45.3619248928614
1204249179,0.4879,40238310.5955951,184543130.047184,46023449.7408062,362204265.251551,0.412200818130891,0.125189930400015,0.08140360071947804,0.28090229539751
1204258052,3.9229,10314751711.8491,1066099280.77978,2560.03618774927,3996872807.2213,21.538245945993,2.79729939473731,2.267388524658495e-05,9.934888861349707
1204261231,0.1502,81481094.141632,27044229.1274932,14995620.5454439,62187305.5180857,0.0,0.0041352321022747,6.065185678452242e-08,0.007433146729281864
1204266138,0.6095,11094134037.648,8179672951.62518,3291013341.78085,14170440471.617,0.486132873946763,1.11322122057405,0.01843562100620967,3.726356892026864
1204279139,0.6229,13810817062.3805,14043920119.3817,12586001232.8986,15493482863.7913,8.30631675919867,8.159052153397155,7.298486209631323,8.978973778907767
1204282041,0.536,392640021.914106,473043673.624364,324910918.981648,740218082.0705,0.168007136415897,0.22856636505689099,0.14969713076938668,0.3182149462978281
