# MAGPI master source catalogue
#
# Generated 2024-08-23-16:45:12
# MAGPIID  -  unique MAGPI identifier
# segID    -  Segmentation ID, which can be matched against values in segim
# xmax     -  x position of maximum flux
# ymax     -  y position of maximum flux
# RAmax    -  Right Ascension of max flux
# Decmax   -  Declination of max flux
# z        -  Redshift. Only robust for QOP=3,4
# QOP      -  Redshift quality [4=great, 3=good, 2=possible, 1=unknown, 0=error]
# mag_rt   -  total r-band magnitude
# mag_it   -  total i-band magnitude
# R50_it   -  Approximate elliptical semi-major axis containing 50% of the flux (arcsec)
# R90_it   -  Approximate elliptical semi-major axis containing 90% of the flux (arcsec)
# axrat_it -  Axial ratio as given by min/maj
# ang_it   -  Orientation of the semi-major axis (cc from Y axis)
MAGPIID,segID,xmax,ymax,RAmax,Decmax,z,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it
1201027109,113,27.50,109.50,174.720601,-1.933122,0.8719,1,24.774,27.602,0.242,0.281,0.588,175.59
1201029155,49,29.50,155.50,174.720490,-1.930566,0.7517,1,23.725,23.617,0.832,1.347,0.508,129.39
1201043115,24,43.50,115.50,174.719712,-1.932788,0.0002,6,25.592,24.075,0.381,0.720,0.961,7.40
1201047142,174,47.50,142.50,174.719489,-1.931288,1.2057,1,27.302,25.765,0.471,0.699,0.894,94.24
1201049325,250,49.50,325.50,174.719378,-1.921122,1.0963,1,23.498,22.941,1.338,2.016,0.864,122.02
1201052277,109,52.50,277.50,174.719211,-1.923788,2.9331,2,23.294,22.309,1.524,2.343,0.891,58.18
1201057188,70,57.50,188.50,174.718933,-1.928733,0.8796,3,24.056,23.210,0.828,1.475,0.638,65.27
1201060046,21,60.50,46.50,174.718767,-1.936622,0.4457,1,23.056,22.309,1.484,2.452,0.790,3.99
1201061256,172,61.50,256.50,174.718711,-1.924955,0.4027,3,23.428,22.671,1.554,2.659,0.845,138.58
1201080317,61,80.50,317.50,174.717655,-1.921566,0.3426,1,24.068,23.948,0.563,1.011,0.915,114.08
1201087280,94,87.50,280.50,174.717266,-1.923622,0.8028,1,24.711,24.211,0.540,1.004,0.829,78.49
1201098351,123,98.50,351.50,174.716654,-1.919677,0.3632,1,25.829,nan,nan,nan,0.859,0.04
1201101154,11,101.50,154.50,174.716487,-1.930622,0.4137,4,23.112,22.724,0.622,1.264,0.751,22.95
1201102112,75,102.50,112.50,174.716432,-1.932955,1.2452,2,25.697,25.681,0.327,0.602,0.965,119.16
1201111283,83,111.50,283.50,174.715932,-1.923455,0.3422,2,24.912,24.389,0.518,0.881,0.797,107.80
1201112189,90,112.50,189.50,174.715876,-1.928677,0.8790,3,25.183,24.072,0.790,1.396,0.912,154.57
1201115264,121,115.50,264.50,174.715709,-1.924511,0.8954,2,25.869,25.139,0.438,0.728,0.747,34.89
1201118138,9,118.50,138.50,174.715543,-1.931511,0.3469,3,22.472,21.887,0.710,1.750,0.891,176.61
1201121310,59,121.50,310.50,174.715376,-1.921955,0.8744,1,24.228,23.961,0.634,1.027,0.773,156.07
1201123284,15,123.50,284.50,174.715265,-1.923400,0.3487,4,23.735,23.470,0.440,0.833,0.885,135.15
1201124338,7,124.50,338.50,174.715209,-1.920400,0.3477,4,22.088,21.477,0.582,1.352,0.934,146.82
1201128155,101,128.50,155.50,174.714987,-1.930566,0.6241,1,25.470,25.344,0.652,1.098,0.801,58.59
1201129319,33,129.50,319.50,174.714931,-1.921455,0.3049,4,24.576,24.417,0.390,0.725,0.961,156.26
1201133200,18,133.50,200.50,174.714709,-1.928066,1.3025,1,24.480,24.195,0.448,0.955,0.754,47.49
1201134115,108,134.50,115.50,174.714653,-1.932788,0.4824,1,25.678,25.089,0.488,0.794,0.880,27.10
1201136071,16,136.50,71.50,174.714542,-1.935233,0.3494,2,23.581,23.010,0.576,1.141,0.864,177.58
1201139204,66,139.50,204.50,174.714375,-1.927844,0.3906,1,26.608,26.033,0.306,0.476,0.744,137.98
1201141060,51,141.50,60.50,174.714264,-1.935844,0.8705,3,24.643,23.586,0.710,1.241,0.615,63.58
1201141086,73,141.50,86.50,174.714264,-1.934400,0.3041,1,25.456,24.868,0.502,0.945,0.875,43.46
1201142200,39,142.50,200.50,174.714208,-1.928066,1.4241,3,24.568,24.598,0.462,0.770,0.871,9.28
1201143140,23,143.50,140.50,174.714153,-1.931400,2.1742,2,23.885,23.839,0.556,1.027,0.901,40.82
1201149149,65,149.50,149.50,174.713819,-1.930900,4.6385,2,24.724,25.000,0.618,1.149,0.667,54.24
1201151066,43,151.50,66.50,174.713708,-1.935511,0.6715,4,24.435,23.746,0.654,1.380,0.767,31.11
1201158313,135,158.50,313.50,174.713319,-1.921788,4.8678,1,25.581,25.944,0.445,0.628,0.871,67.44
1201159201,52,159.50,201.50,174.713263,-1.928011,0.7062,1,23.971,23.509,1.081,1.760,0.691,135.09
1201161267,89,161.50,267.50,174.713152,-1.924344,0.5987,1,26.306,25.738,0.489,0.762,0.648,108.47
1201162087,17,162.50,87.50,174.713097,-1.934344,1.5437,2,24.014,23.790,0.455,0.893,0.912,47.26
1201165190,46,165.50,190.50,174.712930,-1.928622,0.9415,1,24.626,24.293,0.696,1.086,0.746,139.34
